Current Supply Demand Report


"Last Update : Jul 24, 2024 17:59"

"Alberta Total Net Generation","12017"
"Net Actual Interchange","312"
"Alberta Internal Load (AIL)","11705"
"Net-To-Grid Generation","9394"
"Contingency Reserve Required","554"
"Dispatched Contingency Reserve (DCR)","566"
"Dispatched Contingency Reserve -Gen","536"
"Dispatched Contingency Reserve -Other","30"
"LSSi Armed Dispatch","0"
"LSSi Offered Volume","302"
"Long Lead Time Volume","200"

"GAS","13128","9276","124"
"HYDRO","894","294","340"
"ENERGY STORAGE","190","0","60"
"SOLAR","1658","1002","0"
"WIND","4748","1178","0"
"OTHER","444","267","12"
"DUAL FUEL","0","0","0"
"COAL","0","0","0"
"TOTAL","21062","12017","536"

"British Columbia","-38"
"Montana","207"
"Saskatchewan","143"
"TOTAL","312"

"<center><b>Simple Cycle</b></center>"
"ASSET","MC","TNG","DCR"
"AB Newsprint (ANC1)","63","57","0"
"Bantry (ALP1)","7","0","0"
"Bellshill (BHL1)","5","0","0"
"Benalto 1 (VBN1)*","5","4","0"
"Carson Creek (GEN5)","15","10","0"
"Cloverbar #1 (ENC1)","48","30","0"
"Cloverbar #2 (ENC2)","101","66","0"
"Cloverbar #3 (ENC3)","101","57","15"
"Crossfield Energy Centre #1 (CRS1)","48","27","0"
"Crossfield Energy Centre #2 (CRS2)","48","27","0"
"Crossfield Energy Centre #3 (CRS3)^","48","28","0"
"Drywood (DRW1)","6","0","0"
"Genesee Repower 1 (GNR1)","411","362","0"
"Genesee Repower 2 (GNR2)","411","356","0"
"High River 1 (HRV1)","10","0","0"
"High River 2 (HRV2)","10","0","0"
"Judy Creek (GEN6)","15","0","0"
"Lethbridge Burdett (ME03)","7","0","0"
"Lethbridge Coaldale (ME04)","6","0","0"
"Lethbridge Taber (ME02)","8","0","0"
"NPC2 JL Landry (NPC2)","9","9","0"
"NPC3 Elmworth (NPC3)","9","9","0"
"Northern Prairie Power Project (NPP1)","105","65","0"
"Parkland (ALP2)","10","0","0"
"Poplar Hill #1 (PH1)","48","0","0"
"Rainbow #5 (RB5)","50","0","0"
"Ralston (NAT1)","20","0","0"
"South Edmonton Terminal (SET1)","20","0","0"
"Valley View 1 (VVW1)","50","0","0"
"Valley View 2 (VVW2)","50","0","0"
"West Cadotte (WCD1)","20","18","0"
"West Pembina (PMB1)*","13","11","0"
"Wilson Creek (WLC1)","9","2","0"
"<center><b>Cogeneration</b></center>"
"ASSET","MC","TNG","DCR"
"Air Liquide Scotford #1 (ALS1)","106","68","12"
"AltaGas Harmattan (HMT1)","45","20","0"
"Base Plant (SCR1)","50","9","0"
"Bear Creek 1 (BCRK)","64","53","0"
"Bear Creek 2 (BCR2)","36","27","0"
