Current Supply Demand Report


"Last Update : Aug 23, 2024 14:09"

"Alberta Total Net Generation","10826"
"Net Actual Interchange","129"
"Alberta Internal Load (AIL)","10697"
"Net-To-Grid Generation","8289"
"Contingency Reserve Required","493"
"Dispatched Contingency Reserve (DCR)","502"
"Dispatched Contingency Reserve -Gen","439"
"Dispatched Contingency Reserve -Other","63"
"LSSi Armed Dispatch","118"
"LSSi Offered Volume","361"
"Long Lead Time Volume","765"

"GAS","13133","7588","125"
"HYDRO","894","234","289"
"ENERGY STORAGE","190","0","13"
"SOLAR","1658","1070","0"
"WIND","5214","1679","0"
"OTHER","444","255","12"
"DUAL FUEL","0","0","0"
"COAL","0","0","0"
"TOTAL","21533","10826","439"

"British Columbia","159"
"Montana","20"
"Saskatchewan","-50"
"TOTAL","129"

"<center><b>Simple Cycle</b></center>"
"ASSET","MC","TNG","DCR"
"AB Newsprint (ANC1)","63","0","0"
"Bantry (ALP1)","7","0","0"
"Bellshill (BHL1)","5","0","0"
"Benalto 1 (VBN1)","5","0","0"
"Carson Creek (GEN5)","15","0","0"
"Cloverbar #1 (ENC1)","48","0","0"
"Cloverbar #2 (ENC2)","101","68","9"
"Cloverbar #3 (ENC3)","101","0","0"
"Crossfield Energy Centre #1 (CRS1)","48","0","0"
"Crossfield Energy Centre #2 (CRS2)","48","0","0"
"Crossfield Energy Centre #3 (CRS3)^","48","0","0"
"Drywood (DRW1)","6","0","0"
"Genesee Repower 1 (GNR1)","411","0","0"
"Genesee Repower 2 (GNR2)","411","350","0"
"High River 1 (HRV1)","10","0","0"
"High River 2 (HRV2)","10","0","0"
"Judy Creek (GEN6)","15","0","0"
"Lethbridge Burdett (ME03)","7","0","0"
"Lethbridge Coaldale (ME04)","6","0","0"
"Lethbridge Taber (ME02)","8","0","0"
"NPC2 JL Landry (NPC2)","9","0","0"
"NPC3 Elmworth (NPC3)","9","0","0"
"Netook 1 (VNT1)","5","0","0"
"Northern Prairie Power Project (NPP1)","105","0","0"
"Parkland (ALP2)","10","0","0"
"Poplar Hill #1 (PH1)","48","21","0"
"Rainbow #5 (RB5)","50","0","0"
"Ralston (NAT1)","20","0","0"
"South Edmonton Terminal (SET1)","20","0","0"
"Valley View 1 (VVW1)","50","0","10"
"Valley View 2 (VVW2)","50","0","0"
"West Cadotte (WCD1)","20","18","0"
"West Pembina (PMB1)*","13","0","0"
"Wilson Creek (WLC1)","9","0","0"
"<center><b>Cogeneration</b></center>"
"ASSET","MC","TNG","DCR"
"Air Liquide Scotford #1 (ALS1)","106","65","12"
"AltaGas Harmattan (HMT1)","45","34","0"
"Base Plant (SCR1)","50","24","0"
"Bear Creek 1 (BCRK)","64","0","0"
"Bear Creek 2 (BCR2)","36","20","0"
"Blackfalds (BFD1)","6","0","0"
"CNRL Horizon (CNR5)*","203","171","6"
"COD1 Coaldale (COD1)","5","4","0"
"Camrose (CRG1)*","10","0","0"
"Caroline (SHCG)*","19","0","0"
"Carseland Cogen (TC01)","95","64","0"
"Christina Lake (CL01)","100","0","0"
"Dow Hydrocarbon (DOWG)","326","166","0"
"Edson (TLM2)","13","8","0"
"Empress (EPS1)*","46","39","0"
"Firebag (SCR6)","497","371","15"
"Fort Hills (FH1)","199","156","0"
"Foster Creek (EC04)","98","64","0"
"Heartland Petrochemical (HRT1)","108","74","7"
"Joffre #1 (JOF1)","474","333","15"
"Kearl (IOR3)","84","70","0"
"Lindbergh (PEC1)*","16","18","0"
"MEG1 Christina Lake (MEG1)","202","134","0"
"MacKay River (MKRC)","207","157","0"
"Mahkeses (IOR1)","180","141","0"
"Mulligan (MUL1)*","5","2","0"
"Muskeg River (MKR1)","202","152","6"
"Nabiye (IOR2)*","195","142","0"
"Nexen Inc #2 (NX02)","220","155","0"
"Poplar Creek (SCR5)","376","288","0"
"Primrose #1 (PR1)","100","71","0"
"Rainbow Lake #1 (RL1)","47","35","0"
"Redwater Cogen (TC02)","92","33","0"
"Saddle Hills (SDH1)","10","10","0"
"Scotford Upgrader (APS1)","195","137","0"
"Strathcona (IOR4)*","43","40","0"
"Syncrude #1 (SCL1)","510","396","0"
"U of C Generator (UOC1)*","12","11","0"
"University of Alberta (UOA1)*","39","0","0"
"Wembley (WEM1)*","19","13","0"
"<center><b>Combined Cycle</b></center>"
"ASSET","MC","TNG","DCR"
"Cascade 1 (CAS1)","450","421","0"
"Cascade 2 (CAS2)","450","385","0"
"Cavalier (EC01)","120","93","0"
"ENMAX Calgary Energy Centre (CAL1)","330","244","0"
"Fort Nelson (FNG1)","73","21","0"
"H.R. Milner (HRM)","300","243","0"
"Medicine Hat #1 (CMH1)","299","176","20"
"Nexen Inc #1 (NX01)","120","50","0"
"Shepard (EGC1)","868","767","0"
"<center><b>Gas Fired Steam</b></center>"
"ASSET","MC","TNG","DCR"
"Battle River #4 (BR4)","155","35","10"
"Battle River #5 (BR5)","395","0","0"
"Genesee #3 (GN3)","466","465","0"
"Keephills #2 (KH2)","395","63","0"
"Keephills #3 (KH3)","466","451","15"
"Sheerness #1 (SH1)","400","0","0"
"Sheerness #2 (SH2)","400","119","0"
"Sundance #6 (SD6)","401","0","0"

"Bighorn Hydro (BIG)","120","48","41"
"Bow River Hydro (BOW1)","320","94","37"
"Brazeau Hydro (BRA)","350","31","211"
"Chin Chute (CHIN)","15","0","0"
"Dickson Dam (DKSN)","15","11","0"
"Irrican Hydro (ICP1)","7","5","0"
"Oldman River (OMRH)","32","20","0"
"Raymond Reservoir (RYMD)","21","13","0"
"Taylor Hydro (TAY1)","14","12","0"

"Summerview (SUM1)","10","0","0"
"eReserve1 Rycroft (ERV1)","20","0","0"
"eReserve2 Buffalo Creek (ERV2)","20","0","0"
"eReserve3 Mercer Hill (ERV3)","20","0","0"
"eReserve4 (ERV4)","20","0","0"
"eReserve5 Hughenden (ERV5)","20","0","0"
"eReserve6 (ERV6)","20","0","0"
"eReserve7 (ERV7)","20","0","13"
"eReserve8 (ERV8)","20","0","0"
"eReserve9 (ERV9)","20","0","0"

"BRD1 Burdett (BRD1)","11","6","0"
"BUR1 Burdett (BUR1)","20","11","0"
"Barlow Solar (BLS1)","31","28","0"
"Brooks Solar (BSC1)","15","6","0"
"Brooks Solar 1 (BRK1)","13","5","0"
"Brooks Solar 2 (BRK2)","14","6","0"
"COL1 Coaldale (COL1)^","23","23","0"
"Chappice Lake (CHP1)","14","9","0"
"Claresholm 1 (CLR1)","58","52","0"
"Claresholm 2 (CLR2)","75","67","0"
"Clydesdale 1 (CLY1)","41","16","0"
"Clydesdale 2 (CLY2)","34","14","0"
"Conrad 1 (CRD1)","23","19","0"
"Conrad 2 (CRD2)","18","0","0"
"Deerfoot (DFT1)","41","40","0"
"East Strathmore Namaka (NMK1)","20","16","0"
"Empress Solar Park (EMP1)","39","32","0"
"Fox Coulee Solar (FCS1)","75","47","0"
"Hays (HYS1)","23","9","0"
"Hull (HUL1)","25","7","0"
"Innisfail (INF1)","22","20","0"
"Jenner (JER1)","23","17","0"
"Joffre Solar 1 (JFS1)","25","25","0"
"Joffre Solar 2 (JFS2)","22","22","0"
"Kneehill Solar (TRH1)","25","24","0"
"Michichi Creek (MCH1)^","14","10","0"
"Michichi Solar (MIC1)","25","20","0"
"Monarch (MON1)^","24","22","0"
"Saddlebrook Solar (SDL1)","81","79","0"
"Sollair Solar Energy Plant (SLR1)","75","0","0"
"Spring Coulee (SGC1)","30","22","0"
"Stavely (STV1)","17","17","0"
"Strathmore 1 (STR1)","18","14","0"
"Strathmore 2 (STR2)","23","16","0"
"Suffield (SUF1)","23","17","0"
"Travers (TVS1)","465","259","0"
"Vauxhall (VXH1)","22","7","0"
"Vulcan (VCN1)^","22","18","0"
"Westfield Yellow Lake (WEF1)","19","14","0"
"Wheatcrest (WCR1)","50","18","0"
"Youngstown Solar (YNG1)","6","5","0"
"kisikaw-pisim 1 (KKP1)*","7","5","0"
"kisikaw-pisim 2 (KKP2)*","7","6","0"

"Ardenville Wind (ARD1)*","68","0","0"
"BUL1 Bull Creek (BUL1)*","13","5","0"
"BUL2 Bull Creek (BUL2)*","16","6","0"
"Blackspring Ridge (BSR1)*","300","42","0"
"Blue Trail Wind (BTR1)*","66","0","0"
"Buffalo Atlee 1 (BFL1)*","18","14","0"
"Buffalo Atlee 2 (BFL2)*","16","11","0"
"Buffalo Atlee 3 (BFL3)*","18","15","0"
"Buffalo Atlee 4 (BFL4)*","11","7","0"
"Buffalo Plains (BPW1)*","466","0","0"
"Castle River #1 (CR1)*","39","0","0"
"Castle Rock Ridge 2 (CRR2)*","29","2","0"
"Castle Rock Wind Farm (CRR1)*","77","5","0"
"Cowley Ridge (CRE3)*","20","0","0"
"Cypress 1 (CYP1)*","196","126","0"
"Cypress 2 (CYP2)*","46","24","0"
"Enmax Taber (TAB1)*","81","4","0"
"Forty Mile Bow Island (FRM1)*","266","0","0"
"Forty Mile Granlea (FMG1)*","200","50","0"
"Garden Plain (GDP1)*","130","82","0"
"Ghost Pine (NEP1)*","82","57","0"
"Grizzly Bear (GRZ1)*","152","78","0"
"Halkirk Wind Power Facility (HAL1)*","150","88","0"
"Hand Hills (HHW1)*","145","95","0"
"Hilda Wind (HLD1)*","100","73","0"
"Jenner 1 (JNR1)*","122","94","0"
"Jenner 2 (JNR2)*","71","45","0"
"Jenner 3 (JNR3)*","109","70","0"
"Kettles Hill (KHW1)*","63","0","0"
"Lanfine Wind (LAN1)*","151","117","0"
"McBride Lake Windfarm (AKE1)*","73","0","0"
"Oldman 2 Wind Farm 1 (OWF1)*","46","4","0"
"Paintearth Wind Project (PAW1)*","198","100","0"
"Rattlesnake Ridge Wind (RTL1)*","130","66","0"
"Riverview (RIV1)*","105","9","0"
"Sharp Hill Wind (SHH1)*","297","225","0"
"Soderglen Wind  (GWW1)*","71","0","0"
"Stirling Wind (SWP1)*","113","4","0"
"Summerview 1 (IEW1)*","66","2","0"
"Summerview 2 (IEW2)*","66","4","0"
"Suncor Chin Chute (SCR3)*","30","0","0"
"Suncor Magrath (SCR2)*","30","1","0"
"Wheatland Wind (WHE1)*","120","53","0"
"Whitla 1 (WHT1)*","202","59","0"
"Whitla 2 (WHT2)*","151","41","0"
"Windrise (WRW1)*","207","1","0"
"Wintering Hills (SCR4)*","88","0","0"

"APF Athabasca (AFG1)*","131","62","0"
"Bonnybrook (BON1)*","10","6","0"
"Cancarb Medicine Hat (CCMH)","42","23","0"
"DAI1 Daishowa (DAI1)","52","51","12"
"Gold Creek Facility (GOC1)","5","0","0"
"Grande Prairie EcoPower (GPEC)","18","11","0"
"NRGreen (NRG3)","16","0","0"
"Slave Lake (SLP1)*","9","3","0"
"Swan Hills Geothermal (SRL1)","20","0","0"
"Weldwood #1 (WWD1)*","50","21","0"
"Westlock (WST1)*","18","12","0"
"Weyerhaeuser (WEY1)","48","44","0"
"Whitecourt Power (EAGL)","25","22","0"






