Current Supply Demand Report


"Last Update : Nov 28, 2024 11:27"

"Alberta Total Net Generation","11054"
"Net Actual Interchange","-433"
"Alberta Internal Load (AIL)","11487"
"Net-To-Grid Generation","8288"
"Contingency Reserve Required","510"
"Dispatched Contingency Reserve (DCR)","572"
"Dispatched Contingency Reserve -Gen","485"
"Dispatched Contingency Reserve -Other","87"
"FFR Armed Dispatch","126"
"FFR Offered Volume","126"
"Long Lead Time Volume","0"

"COGENERATION","6090","4080","84"
"WIND","5476","616","0"
"COMBINED CYCLE","3942","3567","5"
"GAS FIRED STEAM","3078","1657","100"
"SOLAR","1812","120","0"
"SIMPLE CYCLE","979","474","0"
"HYDRO","894","252","150"
"OTHER","444","288","12"
"ENERGY STORAGE","190","0","134"
"TOTAL","22905","11054","485"

"British Columbia","-295"
"Montana","-138"
"Saskatchewan","0"
"TOTAL","-433"

"<center><b>Simple Cycle</b></center>"
"ASSET","MC","TNG","DCR"
"AB Newsprint (ANC1)","63","61","0"
"Bantry (ALP1)","7","7","0"
"Bellshill (BHL1)","5","0","0"
"Benalto 1 (VBN1)","5","3","0"
"Carson Creek (GEN5)","15","13","0"
"Cloverbar #1 (ENC1)","48","0","0"
"Cloverbar #2 (ENC2)","101","0","0"
"Cloverbar #3 (ENC3)","101","0","0"
"Crossfield Energy Centre #1 (CRS1)","48","40","0"
"Crossfield Energy Centre #2 (CRS2)","48","40","0"
"Crossfield Energy Centre #3 (CRS3)^","48","41","0"
"Drywood (DRW1)","6","0","0"
"High River 1 (HRV1)","10","10","0"
"High River 2 (HRV2)","10","10","0"
"Judy Creek (GEN6)","15","10","0"
"Kenilworth 1 (VKW1)","5","3","0"
"Lethbridge Burdett (ME03)","7","7","0"
"Lethbridge Coaldale (ME04)","6","6","0"
"Lethbridge Taber (ME02)","8","8","0"
"NPC2 JL Landry (NPC2)","9","9","0"
"NPC3 Elmworth (NPC3)","9","9","0"
"Netook 1 (VNT1)","5","0","0"
"Northern Prairie Power Project (NPP1)","105","94","0"
"Northern Valley 1 (VNV1)","5","3","0"
"Parkland (ALP2)","10","0","0"
"Poplar Hill #1 (PH1)","48","0","0"
"Rainbow #5 (RB5)","50","48","0"
"Ralston (NAT1)","20","10","0"
"South Edmonton Terminal (SET1)","20","17","0"
"Valley View 1 (VVW1)","50","0","0"
"Valley View 2 (VVW2)","50","0","0"
"West Cadotte (WCD1)","20","19","0"
